City_ID,City,Country,MaxTemp,Current Description,Lat,Lon,Hotel Name
258,Bredasdorp,ZA,53.1,light rain,-34.5322,20.0403,Victoria Hotel - Bredasdorp
262,Yellowknife,CA,64.92,scattered clouds,62.456,-114.3525,The Explorer Hotel
271,Sumbe,AO,68.38,overcast clouds,-11.2061,13.8437,Hotel Ritz Sumbe
272,Sitka,US,67.89,overcast clouds,57.0531,-135.33,Sitka Hotel
274,Busselton,AU,53.82,clear sky,-33.65,115.3333,Esplanade Hotel
276,Hofn,IS,51.01,moderate rain,64.2539,-15.2082,Milk Factory
279,Carnarvon,AU,63.54,clear sky,-24.8667,113.6333,Carnarvon Hotel
291,Pisco,PE,60.85,few clouds,-13.7,-76.2167,Hotel San Isidro Oficial
292,Sambava,MG,68.34,light rain,-14.2667,50.1667,Hôtel Las Palmas
301,Jerécuaro,MX,68.22,overcast clouds,20.15,-100.5167,Hotel El Patio
304,Cape Town,ZA,54.27,moderate rain,-33.9258,18.4232,The Bay Hotel
307,Busselton,AU,53.82,clear sky,-33.65,115.3333,Esplanade Hotel
311,Cape Town,ZA,54.27,moderate rain,-33.9258,18.4232,The Bay Hotel
322,Kargasok,RU,54.84,few clouds,59.0556,80.8572,Gostitsa Severyanka
325,Hermanus,ZA,51.8,moderate rain,-34.4187,19.2345,Harbour House Hotel
331,Carballo,ES,67.42,broken clouds,43.213,-8.691,Hotel Mar De Queo
335,Onega,RU,55.99,broken clouds,63.9061,38.1404,"Gostevoy Kompleks ""Alonushka"""
336,Cape Town,ZA,54.27,moderate rain,-33.9258,18.4232,The Bay Hotel
340,Busselton,AU,53.82,clear sky,-33.65,115.3333,Esplanade Hotel
341,Hermanus,ZA,51.8,moderate rain,-34.4187,19.2345,Harbour House Hotel
342,Cape Town,ZA,54.27,moderate rain,-33.9258,18.4232,The Bay Hotel
345,Tuktoyaktuk,CA,53.6,broken clouds,69.4541,-133.0374,Smitty's Bed and Breakfast
350,Goderich,CA,65.91,clear sky,43.7501,-81.7165,Bedford Hotel
359,Port Alfred,ZA,61.95,overcast clouds,-33.5906,26.891,Royal St Andrews Hotel
360,Busselton,AU,53.82,clear sky,-33.65,115.3333,Esplanade Hotel
361,Carnarvon,AU,63.54,clear sky,-24.8667,113.6333,Good Paddock Restaurant By Gascoyne Hotel
